bin,mean,std,cov,min,max,dist_m,wins,class
0,0.271143,0.147370,0.5435,0.156421,0.517376,0.000,0,noise
1,0.319237,0.122503,0.3837,0.123907,0.594638,0.601,0,noise
2,0.196659,0.042406,0.2156,0.095977,0.330099,1.201,0,noise
3,0.196716,0.027533,0.1400,0.166665,0.237558,1.802,0,noise
4,0.386306,0.115453,0.2989,0.199865,0.499418,2.402,0,noise
5,0.281013,0.023223,0.0826,0.265250,0.350265,3.003,0,stable_floor
6,0.271780,0.026736,0.0984,0.247451,0.333912,3.603,0,stable_floor
7,0.160105,0.024997,0.1561,0.136153,0.274870,4.204,0,noise
8,0.544815,0.012473,0.0229,0.528156,0.556718,4.804,0,stable_elevated
9,0.514229,0.048282,0.0939,0.429957,0.546251,5.405,0,stable_floor
10,0.563571,0.003811,0.0068,0.556706,0.572103,6.005,0,stable_elevated
11,0.328901,0.173285,0.5269,0.093505,0.458651,6.606,0,noise
12,0.527102,0.104461,0.1982,0.400528,0.652862,7.207,4,noise
13,0.225212,0.012016,0.0534,0.218263,0.290161,7.807,0,stable_floor
14,0.454894,0.001562,0.0034,0.453259,0.457082,8.408,0,stable_floor
15,0.379624,0.085139,0.2243,0.146974,0.455721,9.008,0,noise
16,0.274581,0.108006,0.3933,0.177891,0.451165,9.609,0,noise
17,0.119763,0.018112,0.1512,0.106585,0.177033,10.209,0,noise
18,0.336417,0.014923,0.0444,0.316234,0.348428,10.810,0,stable_floor
19,0.473985,0.067313,0.1420,0.421973,0.636739,11.410,2,noise
20,0.267736,0.211842,0.7912,0.067636,0.503151,12.011,0,noise
21,0.368968,0.059671,0.1617,0.294526,0.432532,12.611,0,noise
22,0.390745,0.108116,0.2767,0.145801,0.506789,13.212,0,noise
23,0.385545,0.075617,0.1961,0.136867,0.489295,13.813,0,noise
24,0.226140,0.059416,0.2627,0.202607,0.534960,14.413,0,noise
25,0.185808,0.101328,0.5453,0.080780,0.314155,15.014,0,noise
26,0.266238,0.116122,0.4362,0.154498,0.470024,15.614,0,noise
27,0.375102,0.223623,0.5962,0.012783,0.696303,16.215,3,noise
28,0.363336,0.006935,0.0191,0.354692,0.373615,16.815,0,stable_floor
29,0.227250,0.018119,0.0797,0.171888,0.233466,17.416,0,stable_floor
30,0.449150,0.079315,0.1766,0.370727,0.531475,18.016,0,noise
31,0.230294,0.002954,0.0128,0.228215,0.237945,18.617,0,stable_floor
32,0.391866,0.033772,0.0862,0.267534,0.416414,19.217,0,stable_floor
33,0.235243,0.010659,0.0453,0.226076,0.280026,19.818,0,stable_floor
34,0.449969,0.067499,0.1500,0.380225,0.547492,20.419,0,noise
35,0.369574,0.014594,0.0395,0.355792,0.402753,21.019,0,stable_floor
36,0.534444,0.024484,0.0458,0.495647,0.553204,21.620,0,stable_floor
37,0.330188,0.003812,0.0115,0.320363,0.332067,22.220,0,stable_floor
38,0.315390,0.068624,0.2176,0.259601,0.538986,22.821,0,noise
39,0.261328,0.169584,0.6489,0.063159,0.469162,23.421,0,noise
40,0.269399,0.000036,0.0001,0.269202,0.269408,24.022,0,stable_floor
41,0.422798,0.012768,0.0302,0.414390,0.446663,24.622,0,stable_floor
42,0.170746,0.000163,0.0010,0.170635,0.171327,25.223,0,stable_floor
43,0.378647,0.037574,0.0992,0.337030,0.480364,25.823,0,stable_floor
44,0.234543,0.050444,0.2151,0.219733,0.423465,26.424,0,noise
45,0.303423,0.045004,0.1483,0.279392,0.475903,27.025,0,noise
46,0.195605,0.106966,0.5468,0.066294,0.358693,27.625,0,noise
47,0.431445,0.004421,0.0102,0.425329,0.442714,28.226,0,stable_floor
48,0.356410,0.000957,0.0027,0.354970,0.357585,28.826,0,stable_floor
49,0.292733,0.085757,0.2930,0.135148,0.521255,29.427,0,noise
50,0.417659,0.000021,0.0001,0.417639,0.417689,30.027,0,stable_floor
51,0.419900,0.020158,0.0480,0.359367,0.433523,30.628,0,stable_floor
52,0.449990,0.001420,0.0032,0.448804,0.451763,31.228,0,stable_floor
53,0.544236,0.054777,0.1007,0.353955,0.621770,31.829,1,stable_elevated
54,0.455028,0.027527,0.0605,0.345585,0.555008,32.429,0,stable_floor
55,0.368519,0.170955,0.4639,0.112372,0.549523,33.030,0,noise
56,0.356630,0.050504,0.1416,0.339898,0.510920,33.631,0,noise
57,0.445091,0.039529,0.0888,0.336965,0.553454,34.231,0,stable_floor
58,0.612075,0.038183,0.0624,0.402939,0.619066,34.832,18,stable_elevated
59,0.488013,0.117444,0.2407,0.249822,0.630251,35.432,3,noise
60,0.277920,0.139616,0.5024,0.142842,0.536059,36.033,0,noise
61,0.319067,0.026914,0.0844,0.208239,0.338232,36.633,0,stable_floor
62,0.312815,0.065383,0.2090,0.283535,0.462547,37.234,0,noise
63,0.224508,0.040182,0.1790,0.193263,0.314807,37.834,0,noise
64,0.000000,0.000000,inf,0.000000,0.000000,38.435,0,zero
65,0.000000,0.000000,inf,0.000000,0.000000,39.035,0,zero
