bin,avg_magnitude,std,se,z_score,dist_m
0,0.271143,0.147370,0.026469,3.565,0.000
1,0.319237,0.122503,0.022002,6.474,0.601
2,0.196659,0.042406,0.007616,2.609,1.201
3,0.196716,0.027533,0.004945,4.030,1.802
4,0.386306,0.115453,0.020736,10.104,2.402
5,0.281013,0.023223,0.004171,24.988,3.003
6,0.271780,0.026736,0.004802,19.782,3.603
7,0.160105,0.024997,0.004490,-3.716,4.204
8,0.544815,0.012473,0.002240,164.283,4.804
9,0.514229,0.048282,0.008672,38.913,5.405
10,0.563571,0.003811,0.000685,565.052,6.005
11,0.328901,0.173285,0.031123,4.888,6.606
12,0.527102,0.104461,0.018762,18.672,7.207
13,0.225212,0.012016,0.002158,22.438,7.807
14,0.454894,0.001562,0.000281,991.410,8.408
15,0.379624,0.085139,0.015291,13.265,9.008
16,0.274581,0.108006,0.019399,5.041,9.609
17,0.119763,0.018112,0.003253,-17.530,10.209
18,0.336417,0.014923,0.002680,59.559,10.810
19,0.473985,0.067313,0.012090,24.583,11.410
20,0.267736,0.211842,0.038048,2.390,12.011
21,0.368968,0.059671,0.010717,17.932,12.611
22,0.390745,0.108116,0.019418,11.018,13.212
23,0.385545,0.075617,0.013581,15.371,13.813
24,0.226140,0.059416,0.010672,4.625,14.413
25,0.185808,0.101328,0.018199,0.496,15.014
26,0.266238,0.116122,0.020856,4.289,15.614
27,0.375102,0.223623,0.040164,4.938,16.215
28,0.363336,0.006935,0.001246,149.778,16.815
29,0.227250,0.018119,0.003254,15.507,17.416
30,0.449150,0.079315,0.014245,19.119,18.016
31,0.230294,0.002954,0.000531,100.850,18.617
32,0.391866,0.033772,0.006066,35.459,19.217
33,0.235243,0.010659,0.001914,30.535,19.818
34,0.449969,0.067499,0.012123,22.534,20.419
35,0.369574,0.014594,0.002621,73.548,21.019
36,0.534444,0.024484,0.004397,81.334,21.620
37,0.330188,0.003812,0.000685,224.075,22.220
38,0.315390,0.068624,0.012325,11.245,22.821
39,0.261328,0.169584,0.030458,2.776,23.421
40,0.269399,0.000036,0.000006,14254.674,24.022
41,0.422798,0.012768,0.002293,107.276,24.622
42,0.170746,0.000163,0.000029,-206.972,25.223
43,0.378647,0.037574,0.006748,29.912,25.823
44,0.234543,0.050444,0.009060,6.375,26.424
45,0.303423,0.045004,0.008083,15.667,27.025
46,0.195605,0.106966,0.019212,0.980,27.625
47,0.431445,0.004421,0.000794,320.740,28.226
48,0.356410,0.000957,0.000172,1045.315,28.826
49,0.292733,0.085757,0.015402,7.528,29.427
50,0.417659,0.000021,0.000004,62773.355,30.027
51,0.419900,0.020158,0.003621,67.149,30.628
52,0.449990,0.001420,0.000255,1071.168,31.228
53,0.544236,0.054777,0.009838,37.349,31.829
54,0.455028,0.027527,0.004944,56.279,32.429
55,0.368519,0.170955,0.030704,6.244,33.030
56,0.356630,0.050504,0.009071,19.827,33.631
57,0.445091,0.039529,0.007100,37.792,34.231
58,0.612075,0.038183,0.006858,63.473,34.832
59,0.488013,0.117444,0.021093,14.755,35.432
60,0.277920,0.139616,0.025076,4.033,36.033
61,0.319067,0.026914,0.004834,29.434,36.633
62,0.312815,0.065383,0.011743,11.584,37.234
63,0.224508,0.040182,0.007217,6.612,37.834
64,0.000000,0.000000,0.000000,0.000,38.435
65,0.000000,0.000000,0.000000,0.000,39.035
