frame,bin,real,imag,magnitude,phase_deg
0,0,0.485462,-0.156281,0.509997,-17.84
0,1,0.083454,-0.216743,0.232255,-68.94
0,2,0.175552,-0.060574,0.185709,-19.04
0,3,0.141308,0.089153,0.167081,32.25
0,4,-0.459473,-0.195713,0.499418,-156.93
0,5,0.254326,-0.077831,0.265969,-17.02
0,6,-0.076794,-0.239140,0.251167,-107.80
0,7,0.052197,-0.134533,0.144304,-68.79
0,8,-0.482719,-0.277096,0.556597,-150.14
0,9,-0.343346,-0.423882,0.545492,-129.01
0,10,-0.317902,0.464825,0.563137,124.37
0,11,0.081776,-0.050652,0.096192,-31.77
0,12,0.045753,0.398727,0.401344,83.45
0,13,-0.043613,0.214973,0.219353,101.47
0,14,0.060699,-0.452301,0.456356,-82.36
0,15,0.431446,0.144798,0.455096,18.55
0,16,-0.142265,0.178127,0.227967,128.61
0,17,0.122665,0.010460,0.123111,4.87
0,18,-0.346279,-0.028553,0.347454,-175.29
0,19,-0.408363,0.363544,0.546741,138.32
0,20,0.000000,0.000000,0.000000,0.00
1,0,0.422897,-0.156281,0.450850,-20.28
1,1,-0.416546,-0.091621,0.426503,-167.60
1,2,0.175552,-0.060818,0.185789,-19.11
1,3,0.140820,0.120396,0.185271,40.53
1,4,0.040535,-0.195713,0.199867,-78.30
1,5,0.254311,-0.077831,0.265954,-17.02
1,6,-0.108044,-0.235233,0.258859,-114.67
1,7,0.208439,-0.134594,0.248118,-32.85
1,8,-0.482719,-0.277340,0.556718,-150.12
1,9,-0.343346,-0.422905,0.544734,-129.07
1,10,-0.335480,0.464825,0.573244,125.82
1,11,0.079823,-0.050652,0.094537,-32.40
1,12,-0.454247,0.398727,0.604420,138.72
1,13,-0.053379,0.215950,0.222449,103.88
1,14,0.060699,-0.452301,0.456356,-82.36
1,15,0.431446,0.144798,0.455096,18.55
1,16,-0.126640,0.178127,0.218557,125.41
1,17,0.107040,0.002647,0.107073,1.42
1,18,-0.315029,-0.028553,0.316320,-174.82
1,19,-0.408363,0.364521,0.547390,138.25
1,20,0.000000,0.000000,0.000000,0.00
2,0,0.485397,-0.156281,0.509935,-17.85
2,1,0.333450,-0.091774,0.345849,-15.39
2,2,0.175674,-0.060558,0.185819,-19.02
2,3,0.140820,0.120396,0.185271,40.53
2,4,-0.459465,-0.195713,0.499411,-156.93
2,5,0.254311,-0.077343,0.265812,-16.92
2,6,-0.076794,-0.235233,0.247451,-108.08
2,7,0.083439,-0.134563,0.158333,-58.20
2,8,-0.482719,-0.277096,0.556597,-150.14
2,9,-0.343346,-0.421928,0.543976,-129.14
2,10,-0.318146,0.464825,0.563275,124.39
2,11,0.081776,0.451302,0.458651,79.73
2,12,0.045753,0.398727,0.401344,83.45
2,13,-0.051426,0.214973,0.221039,103.45
2,14,0.060760,-0.453033,0.457090,-82.36
2,15,0.306446,0.146751,0.339772,25.59
2,16,-0.126640,0.428127,0.446465,106.48
